,colony,type,week,frame_position,growth,wood_distance,comb_distance
2341,SH7,SH,3,0,1,80.0,24.698178070456937
2342,SH3,SH,0,6,1,57.0,48.104053883222775
2343,SH6,SH,2,7,0,54.0,97.18538984847466
2344,DD5,DD,0,9,0,115.0,163.77118183612157
2345,SH2,SH,3,9,0,92.0,64.40496875241847
2346,DD6,DD,2,7,0,125.0,46.8187996428785
2347,SH3,SH,1,1,0,25.0,95.80187889597991
2348,SH4,SH,4,8,0,31.25699921617557,71.06335201775947
2349,SH1,SH,0,5,0,28.0,26.68332812825267
2350,DD7,DD,0,3,1,94.0,75.31268153505093
2351,SH7,SH,0,9,0,80.05623023850174,141.66156853571826
2352,DD5,DD,4,5,1,23.0,64.20280367709809
2353,DD5,DD,4,2,0,55.0,176.08236708995025
2354,SH4,SH,1,9,0,87.0,60.03332407921454
2355,SH6,SH,1,5,0,56.0,47.38143096192854
2356,SH3,SH,4,6,1,49.0,12.083045973594572
2357,DD7,DD,4,1,1,44.0,5.0
2358,DD2,DD,2,5,0,4.0,124.53513560437472
2359,SH2,SH,3,9,0,23.769728648009426,102.15674231297707
2360,SH3,SH,2,8,0,31.0,248.16325271885037
2361,DD6,DD,2,1,0,51.0,148.03040228277433
2362,SH7,SH,0,3,0,90.08884503644167,164.21023110634732
2363,DD7,DD,3,2,1,50.0,27.586228448267445
2364,DD2,DD,2,8,0,35.0,75.31268153505093
2365,SH1,SH,0,8,0,60.0,442.1425109622462
2366,SH3,SH,0,7,0,44.0,112.8007092176286
2367,DD5,DD,4,8,1,49.0,10.63014581273465
2368,SH3,SH,2,1,0,33.0,434.49741080931653
2369,SH4,SH,2,2,0,123.0,94.86832980505137
2370,SH2,SH,0,6,0,91.0,190.4442175546425
2371,SH4,SH,2,2,0,112.21853679316978,97.12878049270464
2372,SH4,SH,0,5,0,110.07270324653611,122.723265927859
2373,DD4,DD,1,5,0,123.0,80.4114419718985
2374,SH6,SH,1,4,0,55.0,123.90722335683259
2375,SH2,SH,1,2,0,98.0,42.5440947723653
2376,SH7,SH,4,6,0,15.0,11.313708498984761
2377,DD7,DD,0,1,0,8.0,213.44085831911377
2378,SH3,SH,0,4,1,32.0,296.7439974119106
2379,SH6,SH,2,2,1,12.0,18.027756377319946
2380,SH3,SH,0,7,0,58.0,279.0
2381,DD2,DD,3,7,1,24.08318915758459,22.825424421026653
2382,SH7,SH,3,3,0,10.0,31.827660925679098
2383,SH2,SH,4,5,1,125.0,25.0
2384,DD4,DD,1,8,0,30.0,35.4682957019364
2385,SH4,SH,3,0,0,13.0,93.26306878931231
2386,SH2,SH,1,7,0,6.0,26.248809496813376
2387,DD5,DD,3,6,0,39.0,50.93132631298737
2388,SH7,SH,0,7,0,4.0,128.4562182223967
2389,SH2,SH,4,2,1,88.05112151472007,23.345235059857504
2390,SH3,SH,0,3,0,81.0,141.59802258506295
2391,DD7,DD,0,2,1,60.0,78.05767098754612
2392,DD7,DD,0,3,0,62.0,225.53491969094276
2393,DD5,DD,0,8,0,12.0,217.24870540465827
2394,SH4,SH,2,5,0,15.0,276.72549575346324
2395,SH1,SH,2,8,0,80.22468448052632,75.23961722390672
2396,SH7,SH,2,5,0,78.0,10.295630140987
2397,SH6,SH,1,2,0,62.0,209.60916010518244
2398,SH2,SH,2,3,0,96.42095207992918,29.546573405388315
2399,SH3,SH,3,3,0,44.0,1.4142135623730951
2400,DD6,DD,2,4,0,22.20360331117452,27.018512172212592
2401,DD5,DD,4,3,1,144.0,24.186773244895647
2402,DD4,DD,4,4,0,31.0,120.34118164618461
2403,SH4,SH,4,7,0,2.8284271247461903,7.615773105863909
2404,DD5,DD,3,6,1,146.0,11.661903789690601
2405,DD5,DD,1,3,0,74.0,367.72000217556837
2406,SH2,SH,1,5,0,108.2266141020775,51.31276644267
2407,SH6,SH,4,0,0,38.47076812334269,166.87720036002523
2408,DD1,DD,0,5,0,72.02777242147643,220.08180297334897
2409,DD1,DD,2,5,0,6.324555320336759,14.866068747318506
2410,SH7,SH,1,4,0,18.0,27.892651361962706
2411,DD6,DD,1,5,0,123.25988804148737,15.264337522473747
2412,SH4,SH,2,2,0,149.21461054467824,88.40814442120137
2413,SH6,SH,1,3,1,72.0,87.47571091451616
2414,DD4,DD,4,3,0,4.47213595499958,262.6194966105906
2415,DD1,DD,3,5,0,12.0,20.591260281974
2416,SH6,SH,0,5,0,48.0,345.37081521170836
2417,DD7,DD,2,5,0,9.0,3.0
2418,SH3,SH,3,7,1,85.0,74.14849964766651
2419,DD6,DD,4,7,0,61.1310068623117,65.49045732013177
2420,DD5,DD,4,8,0,6.0,1.0
2421,SH6,SH,0,9,0,50.60632371551998,64.63745044476924
2422,SH6,SH,1,3,0,29.0,5.830951894845301
2423,DD7,DD,1,6,0,7.0,309.4769781421552
2424,SH1,SH,0,5,0,88.0,84.8528137423857
2425,DD6,DD,1,4,0,109.0,24.413111231467404
2426,SH1,SH,1,4,0,23.0,167.86303941010956
2427,SH3,SH,1,1,0,137.13132391981054,288.90482862008383
2428,SH3,SH,4,8,0,36.0,185.52627846210896
2429,DD4,DD,2,4,0,13.0,93.38094023943002
2430,DD1,DD,4,0,1,19.0,156.69716015295236
2431,SH6,SH,4,1,1,109.0,39.59797974644666
2432,SH2,SH,0,7,0,29.0,109.32977636490436
2433,DD5,DD,2,3,0,43.0,223.1815404552984
2434,SH2,SH,3,9,0,7.0,20.591260281974
2435,SH2,SH,3,1,1,87.0,297.83384629689084
2436,SH6,SH,2,5,0,105.0,110.3675676999362
2437,DD7,DD,3,5,0,7.0,69.29646455628166
2438,SH3,SH,3,9,0,48.0,53.75872022286245
2439,SH3,SH,2,8,0,68.0,216.52944372532804
2440,SH1,SH,3,8,0,19.1049731745428,18.027756377319946
2441,DD5,DD,4,3,0,51.0,170.07351351694948
2442,SH7,SH,2,4,0,7.615773105863909,44.77722635447622
2443,DD6,DD,1,0,0,30.0,74.43117626371358
2444,SH2,SH,0,6,0,16.278820596099706,110.11357772772621
2445,DD4,DD,3,5,0,7.0,34.48187929913333
2446,DD2,DD,2,5,0,3.0,5.0
2447,DD6,DD,1,2,0,63.0,46.66904755831214
2448,DD4,DD,3,6,1,41.0,56.4003546088143
2449,SH3,SH,3,7,0,27.0,187.44865963777923
2450,DD4,DD,0,9,0,71.0,103.94229168149026
2451,DD7,DD,2,3,0,7.280109889280518,141.01418368376991
2452,SH2,SH,2,1,0,78.63841300535,443.06771491500035
2453,DD5,DD,3,5,1,85.0,45.27692569068709
2454,SH6,SH,4,7,0,16.0,180.31361568112376
2455,SH2,SH,2,6,0,83.0,67.20119046564577
2456,SH7,SH,1,4,0,18.0,23.194827009486403
2457,DD7,DD,0,3,0,94.00531899844816,192.78226059469267
2458,DD5,DD,4,7,1,11.0,1.0
2459,SH6,SH,0,4,1,41.0,421.16505078175703
2460,DD7,DD,2,2,0,4.0,76.2954782408499
2461,DD6,DD,2,6,1,102.59142264341595,15.132745950421556
2462,SH7,SH,2,3,1,27.0,9.219544457292887
2463,SH7,SH,3,5,1,19.0,52.3450093132096
2464,SH2,SH,1,7,0,67.0,186.60385848100785
2465,SH6,SH,0,5,0,33.54101966249684,208.4346420343797
2466,SH7,SH,1,6,1,93.0,34.17601498127012
2467,DD1,DD,4,0,1,77.0,73.10950690573696
2468,SH3,SH,1,5,0,46.09772228646444,159.53056133543816
2469,SH4,SH,1,7,0,92.26592003551474,74.79304780526061
2470,SH2,SH,3,4,0,28.0178514522438,55.758407437802596
2471,SH4,SH,3,3,0,40.0,83.24061508662703
2472,DD6,DD,4,1,0,8.0,153.45683432157722
2473,DD2,DD,4,5,0,6.0,8.0
2474,SH6,SH,1,2,0,54.0,22.627416997969522
2475,SH7,SH,1,7,0,39.0,149.0
2476,DD7,DD,0,5,1,54.0,64.63745044476924
2477,SH6,SH,0,6,0,93.0,63.245553203367585
2478,SH3,SH,3,5,1,143.0,4.123105625617661
2479,DD1,DD,2,3,0,96.0,102.80077820717118
2480,DD6,DD,0,3,0,89.0,26.68332812825267
2481,DD7,DD,3,6,1,3.0,4.47213595499958
2482,SH4,SH,4,9,1,124.14507642270796,17.46424919657298
2483,DD1,DD,4,1,1,72.0,85.80209787645055
2484,DD2,DD,3,6,1,74.0,33.94112549695428
2485,SH7,SH,1,6,0,49.0,140.07141035914503
2486,DD5,DD,0,4,0,44.91102314577124,270.31278179176064
2487,DD6,DD,3,2,0,46.0,23.600847442411894
2488,DD2,DD,4,8,1,62.0,12.041594578792296
2489,SH6,SH,0,6,1,80.0,50.91168824543142
2490,SH3,SH,4,9,1,56.0,57.0
2491,DD5,DD,2,4,1,47.0,74.0
2492,DD7,DD,1,4,0,64.0,103.0
2493,DD6,DD,3,6,0,87.0,73.00684899377592
2494,SH7,SH,2,2,1,62.0,2.0
2495,SH2,SH,1,1,0,28.0,131.01526628603247
2496,DD5,DD,4,1,0,27.0,303.5951251255527
2497,SH2,SH,2,4,0,48.0,77.20103626247513
2498,DD2,DD,1,6,0,41.773197148410844,140.91131963046828
2499,SH6,SH,4,2,1,4.0,91.21403400793103
2500,SH2,SH,1,7,0,52.0,137.20058308913997
2501,DD1,DD,4,7,1,17.0,32.449961479175904
2502,SH4,SH,2,1,0,52.0,54.0
2503,SH4,SH,1,4,0,136.0,209.34660255184463
2504,DD5,DD,4,7,0,6.0,146.7310464761974
2505,SH7,SH,2,5,0,25.0,50.0
2506,SH6,SH,1,6,0,70.0,126.03570922560003
2507,DD2,DD,4,2,1,27.0,13.0
2508,SH7,SH,0,7,0,62.0,213.84573879317773
2509,SH1,SH,3,8,0,17.0,136.56500283747664
2510,DD4,DD,0,6,0,18.0,245.96341191323557
2511,SH7,SH,2,5,0,55.44366510251645,16.278820596099706
2512,DD1,DD,4,7,1,10.0,33.94112549695428
2513,DD7,DD,0,2,0,59.0,200.8706051168264
2514,SH4,SH,3,1,1,54.0,4.242640687119285
2515,SH4,SH,1,2,0,96.0,43.9089968002003
2516,DD2,DD,2,1,1,62.0,64.32728814430156
2517,SH4,SH,2,5,0,45.0,218.05733191066977
2518,DD1,DD,3,8,0,1.0,5.0
2519,SH7,SH,2,1,0,10.0,51.97114584074513
2520,SH6,SH,2,8,0,97.0,55.94640292279746
2521,DD5,DD,2,3,0,7.0,176.40011337864837
2522,SH1,SH,0,8,1,74.0,139.04315876734103
2523,SH4,SH,1,3,0,59.0,168.0
2524,DD2,DD,1,6,0,104.0,99.92997548283498
2525,DD2,DD,2,8,0,21.840329667841555,151.99013125857877
2526,DD7,DD,3,7,0,43.0,139.46325680981354
2527,SH6,SH,3,6,0,129.0,31.622776601683793
2528,SH4,SH,4,8,0,54.589376255824725,78.0
2529,DD6,DD,1,7,0,91.0,50.21951811795888
2530,DD1,DD,3,8,0,22.0,50.44799302251776
2531,SH7,SH,4,3,0,11.0,2.0
2532,SH4,SH,2,9,1,109.0,161.1241757155021
2533,DD4,DD,3,9,1,27.65863337187866,9.899494936611665
2534,SH3,SH,4,7,1,18.0,49.64876634922564
2535,DD4,DD,3,4,1,109.0,57.688820407423826
2536,DD6,DD,0,6,0,12.041594578792296,125.23977004130916
2537,SH7,SH,4,7,0,5.0,6.0
2538,DD4,DD,3,5,0,5.656854249492381,4.0
2539,DD1,DD,1,8,0,66.0,141.2834031300209
2540,SH2,SH,1,9,0,39.0,83.40863264674707
2541,SH2,SH,0,8,0,21.0,325.68236059080635
2542,SH4,SH,4,3,0,50.0,138.7984149765407
2543,SH4,SH,3,2,1,105.00476179678711,10.295630140987
2544,SH2,SH,2,1,0,132.0,176.64937022248338
2545,DD2,DD,2,9,1,53.009433122794285,24.758836806279895
2546,SH1,SH,0,4,0,17.0,360.58840802222136
2547,SH3,SH,2,6,0,16.1245154965971,1.0
2548,SH4,SH,4,2,1,34.36568055487916,5.0
2549,SH4,SH,3,1,1,111.36426715962351,8.0
2550,DD5,DD,3,8,0,6.0,205.41178155110774
2551,DD1,DD,1,7,0,33.13608305156178,92.02173656261873
2552,SH7,SH,3,0,1,82.0,12.083045973594572
2553,DD5,DD,2,4,0,36.0,294.771097633401
2554,SH4,SH,4,3,1,110.0,6.4031242374328485
2555,SH2,SH,0,8,1,132.45754036671525,48.38388161361178
2556,SH4,SH,0,5,0,7.0,464.1045140913844
2557,SH1,SH,2,5,0,94.08506789071261,57.982756057296896
2558,SH7,SH,3,6,1,16.0,15.231546211727817
2559,SH3,SH,1,5,0,111.00450441310929,26.40075756488817
2560,DD6,DD,1,5,0,39.0,74.88658090739622
2561,SH3,SH,1,0,0,53.75872022286245,264.0170449043016
2562,SH6,SH,2,3,0,22.02271554554524,11.0
2563,DD1,DD,4,8,1,70.34912934784623,27.018512172212592
2564,DD4,DD,3,7,1,40.0,21.095023109728988
2565,SH4,SH,4,3,0,82.0,25.0
2566,SH4,SH,2,3,0,111.0,276.1322147088239
